Root	Category	Name	TunerType	DiseqC	LNB-Selection	LNB	Frequency	Polarity	Symbolrate	FEC	APID	VPID	PMTPID	PCRPID	AC3	TelePID	SID	StreamID	Encrypted	NetworkID	SatModulation	SatModulationSystem	Group	Language	AudioChannel	EPGFlag	Volume	OrbitalPos	DiSEqCValue
Astra 19.2°E	DIGITAL+	CANAL COCINA (dos)	1	3	0	9750	11038	v	22000	3	117	169	1026	169	0	0	30414	1038	153	1	1	0	0	dos	0	0	0	192	0
Astra 19.2°E	DIGITAL+	CANAL ODISEA (spa)	1	3	0	9750	10877	v	22000	3	108	167	1026	167	0	0	30602	1060	25	1	1	0	0	spa	0	0	0	192	0
Astra 19.2°E	DIGITAL+	CANAL ODISEA (dos)	1	3	0	9750	10877	v	22000	3	109	167	1026	167	0	0	30602	1060	153	1	1	0	0	dos	0	0	0	192	0
Astra 19.2°E	DIGITAL+	CANAL+ 1 (spa)	1	3	0	9750	11038	v	22000	3	80	160	1024	160	0	32	30400	1038	25	1	1	0	0	spa	0	0	0	192	0
Astra 19.2°E	DIGITAL+	CANAL+ 1 (dos)	1	3	0	9750	11038	v	22000	3	81	160	1024	160	0	32	30400	1038	153	1	1	0	0	dos	0	0	0	192	0
Astra 19.2°E	DIGITAL+	CANAL+ 1 (tre)	1	3	0	9750	11038	v	22000	3	82	160	1024	160	0	32	30400	1038	153	1	1	0	0	tre	0	0	0	192	0
Astra 19.2°E	DIGITAL+	CANAL+ 2 (spa)	1	3	0	9750	11038	v	22000	3	112	168	1033	168	0	56	30410	1038	25	1	1	0	0	spa	0	0	0	192	0
Astra 19.2°E	DIGITAL+	CANAL+ 2 (dos)	1	3	0	9750	11038	v	22000	3	113	168	1033	168	0	56	30410	1038	153	1	1	0	0	dos	0	0	0	192	0
Astra 19.2°E	DIGITAL+	CANAL+ 3D (spa)	1	3	0	9750	10730	v	22000	1	110	165	1029	165	17	0	30805	1050	25	1	134	0	0	spa	0	0	0	192	0
Astra 19.2°E	DIGITAL+	CANAL+ 3D (qaa)	1	3	0	9750	10730	v	22000	1	111	165	1029	165	17	0	30805	1050	153	1	134	0	0	qaa	0	0	0	192	0
Astra 19.2°E	DIGITAL+	CANAL+ GOLF (spa)	1	3	0	9750	10877	v	22000	3	104	166	1025	166	0	0	30601	1060	25	1	1	0	0	spa	0	0	0	192	0
Astra 19.2°E	DIGITAL+	CANAL+ GOLF (dos)	1	3	0	9750	10877	v	22000	3	105	166	1025	166	0	0	30601	1060	153	1	1	0	0	dos	0	0	0	192	0
Astra 19.2°E	DIGITAL+	CANAL+ LIGA (spa)	1	3	0	9750	10877	v	22000	3	80	160	1032	160	0	0	30610	1060	25	1	1	0	0	spa	0	0	0	192	0
Astra 19.2°E	DIGITAL+	CANAL+ LIGA (dos)	1	3	0	9750	10877	v	22000	3	81	160	1032	160	0	0	30610	1060	153	1	1	0	0	dos	0	0	0	192	0
Astra 19.2°E	DIGITAL+	CANAL+ LIGA (tre)	1	3	0	9750	10877	v	22000	3	82	160	1032	160	0	0	30610	1060	153	1	1	0	0	tre	0	0	0	192	0
